Repository,URL
water-hole/crane-batch-migration,https://github.com/water-hole/crane-batch-migration
water-hole/poc-retablir,https://github.com/water-hole/poc-retablir
water-hole/transformations,https://github.com/water-hole/transformations
water-hole/extractor,https://github.com/water-hole/extractor
water-hole/etcd-ansible-operator,https://github.com/water-hole/etcd-ansible-operator
water-hole/galera-ansible-operator,https://github.com/water-hole/galera-ansible-operator
water-hole/ansible-operator,https://github.com/water-hole/ansible-operator
water-hole/kind,https://github.com/water-hole/kind
water-hole/bitcoin-sv-operator,https://github.com/water-hole/bitcoin-sv-operator
water-hole/vault-ansible-operator,https://github.com/water-hole/vault-ansible-operator
water-hole/ao-training-modules,https://github.com/water-hole/ao-training-modules
water-hole/memcached-ansible-operator,https://github.com/water-hole/memcached-ansible-operator
water-hole/ansiblefest-2018-demo,https://github.com/water-hole/ansiblefest-2018-demo
